"dataroad" "" ""
"福龙路 Fulong Rd" "福龙路" "4636" "48"
"福龙路 Fulong Rd" "福龙路" "4637" "48"
"福龙路 Fulong Rd" "福龙路" "4638" "48"
"福龙路 Fulong Rd" "福龙路" "4639" "48"
"同乐路" "同乐路" "4669" "7"
"深盐路 Shenyan Rd" "深盐路" "4744" "87"
"深盐路 Shenyan Rd" "深盐路" "4750" "87"
"盐排高速 Yanpai Expressway" "盐排高速" "4760" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "4761" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "4762" "44"
"机荷高速 Jihe Highway" "机荷高速" "4765" "106"
"龙大高速 Longda Highway" "龙大高速" "4774" "111"
"龙大高速 Longda Highway" "龙大高速" "4775" "111"
"龙大高速 Longda Highway" "龙大高速" "4781" "111"
"龙大高速 Longda Highway" "龙大高速" "4782" "111"
"龙大高速 Longda Highway" "龙大高速" "4783" "111"
"龙大高速 LongDa GaoSu" "龙大高速" "4784" "111"
"和平路" "和平路" "4854" "21"
"机荷高速 Jihe Highway" "机荷高速" "4861" "106"
"北环路 Beihuan Rd" "北环路" "4868" "60"
"五和大道" "五和大道" "4907" "14"
"后海大道" "后海大道" "4963" "115"
"南山大道 Nanshan Dadao" "南山大道" "4965" "133"
"南山大道 Nanshan Dadao" "南山大道" "4968" "133"
"深南大道" "深南大道" "4995" "174"
"盐田路 Yantian Rd" "盐田路" "5032" "91"
"留仙大道 Liuxian Blvd" "留仙大道" "5034" "11"
"同乐路 Tongle Rd" "同乐路" "5037" "7"
"永安路 Yong&#39;an Rd" "永安路" "5053" "92"
"留仙大道" "留仙大道" "5059" "11"
"布龙路 Bulong Rd" "布龙路" "5121" "137"
"南坪快速 NanPing Expressway" "南坪快速" "5155" "40"
"南坪快速" "南坪快速" "5156" "40"
"坂雪岗大道" "坂雪岗大道" "5157" "162"
"五和大道" "五和大道" "5159" "14"
"福龙路 Fulong Rd" "福龙路" "5163" "48"
"龙大高速 Longda Highway" "龙大高速" "5166" "111"
"龙大高速 Longda Highway" "龙大高速" "5167" "111"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "5169" "106"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "5170" "106"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "5171" "106"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "5172" "106"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "5173" "106"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "5174" "106"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "5175" "106"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "5176" "106"
"清平高速 QingPing Exwy" "清平高速" "5184" "41"
"清平高速 QingPing Exwy" "清平高速" "5186" "41"
"南山大道 Nanshan Dadao" "南山大道" "5501" "133"
"宝石公路 BaoShi GongLu" "宝石公路" "5511" "180"
"宝石公路" "宝石公路" "5519" "180"
"龙大高速 LongDa GaoSu" "龙大高速" "5915" "111"
"龙大高速 LongDa GaoSu" "龙大高速" "5916" "111"
"龙大高速 LongDa GaoSu" "龙大高速" "5917" "111"
"盐排高速 Yanpai Expressway" "盐排高速" "5930" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "5931" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "5932" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "5933" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "5936" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "5937" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "5941" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "5942" "44"
"水官高速 Shuiguan Expressway" "水官高速" "5962" "109"
"水官高速 Shuiguan Expressway" "水官高速" "5963" "109"
"水官高速 Shuiguan Expressway" "水官高速" "5964" "109"
"水官高速 Shuiguan Expressway" "水官高速" "5965" "109"
"水官高速 Shuiguan Expressway" "水官高速" "5966" "109"
"水官高速 Shuiguan Expressway" "水官高速" "5967" "109"
"水官高速 Shuiguan Expressway" "水官高速" "5968" "109"
"水官高速 Shuiguan Expressway" "水官高速" "5969" "109"
"南光高速" "南光高速" "6007" "43"
"西乡大道 Xixiang Blvd" "西乡大道" "6156" "71"
"西乡大道 Xixiang Blvd" "西乡大道" "6165" "71"
"宝石公路" "宝石公路" "6220" "180"
"福田路" "福田路" "6367" "104"
"福田路" "福田路" "6368" "104"
"和平路" "和平路" "6411" "21"
"深汕高速" "深汕高速" "6413" "108"
"深汕高速" "深汕高速" "6414" "108"
"深汕高速" "深汕高速" "6415" "108"
"深汕高速" "深汕高速" "6416" "108"
"深汕高速" "深汕高速" "6417" "108"
"深汕高速" "深汕高速" "6418" "108"
"深汕高速" "深汕高速" "6419" "108"
"深汕高速" "深汕高速" "6420" "108"
"深汕高速" "深汕高速" "6421" "108"
"深汕高速" "深汕高速" "6422" "108"
"深汕高速" "深汕高速" "6423" "108"
"深汕高速" "深汕高速" "6424" "108"
"深汕高速" "深汕高速" "6425" "108"
"深汕高速" "深汕高速" "6426" "108"
"深汕高速" "深汕高速" "6427" "108"
"深汕高速" "深汕高速" "6428" "108"
"深汕高速" "深汕高速" "6429" "108"
"深汕高速" "深汕高速" "6430" "108"
"深汕高速" "深汕高速" "6431" "108"
"深汕高速" "深汕高速" "6432" "108"
"深汕高速" "深汕高速" "6433" "108"
"深汕高速" "深汕高速" "6434" "108"
"深汕高速" "深汕高速" "6435" "108"
"深汕高速" "深汕高速" "6436" "108"
"深汕高速" "深汕高速" "6437" "108"
"深汕高速" "深汕高速" "6447" "108"
"深汕高速" "深汕高速" "6448" "108"
"深汕高速" "深汕高速" "6449" "108"
"深汕高速" "深汕高速" "6450" "108"
"深汕高速" "深汕高速" "6451" "108"
"深汕高速" "深汕高速" "6452" "108"
"深汕高速 010国道 机荷高速 Airport–He&#39;ao Expressway" "深汕高速" "6453" "108"
"深汕高速" "深汕高速" "6454" "108"
"盐坝高速 - Yanba Expressway" "盐坝高速" "6458" "42"
"盐坝高速 Yanba Expressway" "盐坝高速" "6460" "42"
"盐坝高速 Yanba Expressway" "盐坝高速" "6461" "42"
"盐坝高速 Yanba Expressway" "盐坝高速" "6462" "42"
"盐坝高速 Yanba Expressway" "盐坝高速" "6463" "42"
"盐坝高速 Yanba Expressway" "盐坝高速" "6464" "42"
"盐坝高速 Yanba Expressway" "盐坝高速" "6465" "42"
"盐坝高速 Yanba Expressway" "盐坝高速" "6466" "42"
"盐坝高速 - Yanba Expressway" "盐坝高速" "6467" "42"
"盐坝高速 Yanba Expressway" "盐坝高速" "6468" "42"
"盐坝高速 Yanba Expressway" "盐坝高速" "6469" "42"
"盐坝高速 - Yanba Expressway" "盐坝高速" "6470" "42"
"盐坝高速 - Yanba Expressway" "盐坝高速" "6471" "42"
"盐坝高速 Yanba Expressway" "盐坝高速" "6472" "42"
"盐坝高速 Yanba Expressway" "盐坝高速" "6473" "42"
"盐坝高速 - Yanba Expressway" "盐坝高速" "6474" "42"
"盐坝高速 Yanba Expressway" "盐坝高速" "6490" "42"
"盐坝高速 Yanba Expressway" "盐坝高速" "6491" "42"
"盐坝高速 - Yanba Expressway" "盐坝高速" "6492" "42"
"盐坝高速 - Yanba Expressway" "盐坝高速" "6493" "42"
"盐坝高速 - Yanba Expressway" "盐坝高速" "6497" "42"
"盐坝高速 Yanba Expressway" "盐坝高速" "6501" "42"
"盐坝高速 - Yanba Expressway" "盐坝高速" "6502" "42"
"盐坝高速 - Yanba Expressway" "盐坝高速" "6514" "42"
"盐坝高速 - Yanba Expressway" "盐坝高速" "6515" "42"
"盐坝高速 - Yanba Expressway" "盐坝高速" "6516" "42"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "6519" "106"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "6520" "106"
"深汕高速" "深汕高速" "6521" "108"
"深汕高速" "深汕高速" "6522" "108"
"深汕高速" "深汕高速" "6523" "108"
"深汕高速" "深汕高速" "6524" "108"
"深汕高速 010国道 机荷高速 Airport–He&#39;ao Expressway" "深汕高速" "6531" "108"
"深汕高速 010国道 机荷高速 Airport–He&#39;ao Expressway" "深汕高速" "6532" "108"
"深汕高速 010国道;深汕高速 010国道 机荷高速 Airport–He&#39;ao Expressway" "深汕高速" "6533" "108"
"深汕高速 010国道;深汕高速 010国道 机荷高速 Airport–He&#39;ao Expressway" "深汕高速" "6534" "108"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "6576" "106"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "6577" "106"
"深汕高速 010国道 机荷高速 Airport–He&#39;ao Expressway" "深汕高速" "6578" "108"
"深汕高速 010国道 机荷高速 Airport–He&#39;ao Expressway" "深汕高速" "6579" "108"
"深汕高速 010国道 机荷高速 Airport–He&#39;ao Expressway" "深汕高速" "6580" "108"
"深汕高速 010国道 机荷高速 Airport–He&#39;ao Expressway" "深汕高速" "6581" "108"
"深汕高速 010国道;深汕高速 010国道 机荷高速 Airport–He&#39;ao Expressway" "深汕高速" "6582" "108"
"深汕高速 010国道;深汕高速 010国道 机荷高速 Airport–He&#39;ao Expressway" "深汕高速" "6583" "108"
"深汕高速 010国道;深汕高速 010国道 机荷高速 Airport–He&#39;ao Expressway" "深汕高速" "6584" "108"
"深汕高速 010国道 机荷高速 Airport–He&#39;ao Expressway" "深汕高速" "6585" "108"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "6592" "106"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "6593" "106"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "6594" "106"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "6595" "106"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "6596" "106"
"机荷高速 Airport–He&#39;ao Expressway" "机荷高速" "6597" "106"
"黄阁路" "黄阁路" "6652" "94"
"龙大高速 Longda Highway" "龙大高速" "6904" "111"
"龙大高速 Longda Highway" "龙大高速" "6905" "111"
"龙大高速 Longda Highway" "龙大高速" "6906" "111"
"福强路 Fuqiang Road" "福强路" "7116" "101"
"福强路 Fuqiang Road" "福强路" "7120" "101"
"福强路 Fuqiang Road" "福强路" "7124" "101"
"深南大道" "深南大道" "7157" "174"
"深南大道" "深南大道" "7159" "174"
"北环大道" "北环大道" "7182" "170"
"北环大道" "北环大道" "7190" "170"
"南坪快速" "南坪快速" "7222" "40"
"南坪快速 Nanping Expressway" "南坪快速" "7224" "40"
"南坪快速 Nanping Expressway" "南坪快速" "7225" "40"
"新区大道 Xinqu Blvd" "新区大道" "7235" "10"
"梅龙路 Meilong Rd" "梅龙路" "7237" "36"
"梅龙路 Meilong Rd" "梅龙路" "7241" "36"
"玉龙路 Yulong Rd" "玉龙路" "7251" "12"
"南坪快速" "南坪快速" "7256" "40"
"南坪快速" "南坪快速" "7257" "40"
"南坪快速 NanPing Expressway" "南坪快速" "7272" "40"
"南坪快速 NanPing Expressway" "南坪快速" "7273" "40"
"南坪快速 NanPing Expressway" "南坪快速" "7275" "40"
"南坪快速 NanPing Expressway" "南坪快速" "7279" "40"
"南坪快速 NanPing Expressway" "南坪快速" "7280" "40"
"南坪快速" "南坪快速" "7285" "40"
"南坪快速" "南坪快速" "7289" "40"
"南坪快速" "南坪快速" "7290" "40"
"留仙大道 Liuxian Blvd" "留仙大道" "7310" "11"
"留仙大道 Liuxian Blvd" "留仙大道" "7315" "11"
"布龙路 Bulong Rd" "布龙路" "7695" "137"
"布龙路 Bulong Rd" "布龙路" "7697" "137"
"布龙路 Bulong Rd" "布龙路" "7703" "137"
"布龙路 Bulong Rd" "布龙路" "7706" "137"
"布龙路 Bulong Rd" "布龙路" "7891" "137"
"布龙路 Bulong Rd" "布龙路" "7907" "137"
"白石路" "白石路" "8029" "116"
"白石路" "白石路" "8031" "116"
"福龙路 Fulong Rd" "福龙路" "8032" "48"
"福龙路 Fulong Rd" "福龙路" "8033" "48"
"福龙路 Fulong Rd" "福龙路" "8034" "48"
"南坪快速" "南坪快速" "8061" "40"
"南坪快速" "南坪快速" "8065" "40"
"南坪快速 Nanping Expressway" "南坪快速" "8066" "40"
"南光高速 Nanshan-Guangming Expressway" "南光高速" "8067" "43"
"同乐路 Tongle Rd" "同乐路" "8126" "7"
"同乐路 Tongle Rd" "同乐路" "8127" "7"
"同乐路 Tongle Rd" "同乐路" "8130" "7"
"同乐路 Tongle Rd" "同乐路" "8131" "7"
"南海大道 Nanhai Blvd" "南海大道" "8558" "47"
"北环大道" "北环大道" "8618" "170"
"北环大道" "北环大道" "8619" "170"
"北环大道" "北环大道" "8620" "170"
"北环大道" "北环大道" "8622" "170"
"宝安大道 BaoAn DaDao" "宝安大道" "8932" "35"
"白石路" "白石路" "8967" "116"
"白石路" "白石路" "8968" "116"
"白石路" "白石路" "8969" "116"
"白石路" "白石路" "8972" "116"
"沙河西路" "沙河西路" "9189" "50"
"沙河西路" "沙河西路" "9192" "50"
